epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
94,4274,9.521840524939762e-07,,,,,
95,4299,,8.71717475092737e-07,,,,
95,4319,,,0.0,9.19897900075739e-07,0.0,0.0
95,4319,9.184079772239784e-07,,,,,
96,4349,,1.0132782790606143e-06,,,,
96,4364,,,0.0,8.881087296686019e-07,0.0,0.0
96,4364,9.136065841630625e-07,,,,,
97,4399,,9.313221198681276e-07,,,,
97,4409,,,0.0,8.761878120822075e-07,0.0,0.0
97,4409,8.70558892529516e-07,,,,,
98,4449,,7.227060905279359e-07,,,,
98,4454,,,0.0,8.543328817722795e-07,0.0,0.0
98,4454,8.665850828037946e-07,,,,,
99,4499,,7.674094604226411e-07,,,,
99,4499,,,0.0,8.364515338143974e-07,0.0,0.0
99,4499,8.256897103819938e-07,,,,,
