epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
67,3059,2.755058972070401e-07,,,,,
68,3099,,2.607702640489151e-07,,,,
68,3104,,,0.0,2.622603858526418e-07,0.0,0.0
68,3104,2.6441281875122513e-07,,,,,
69,3149,,2.3841855067985307e-07,,,,
69,3149,,,0.0,2.602735662549094e-07,0.0,0.0
69,3149,2.569622381543013e-07,,,,,
70,3194,,,0.0,2.602735662549094e-07,0.0,0.0
70,3194,2.533197118737007e-07,,,,,
71,3199,,2.607702640489151e-07,,,,
71,3239,,,0.0,2.5629989863773517e-07,0.0,0.0
71,3239,2.510017509393947e-07,,,,,
72,3249,,2.533196834519913e-07,,,,
72,3284,,,0.0,2.50339439844538e-07,0.0,0.0
72,3284,2.458691312767769e-07,,,,,
73,3299,,2.4586910285506747e-07,,,,
73,3329,,,0.0,2.50339439844538e-07,0.0,0.0
73,3329,2.4305447254846513e-07,,,,,
74,3349,,2.4586910285506747e-07,,,,
74,3374,,,0.0,2.463658006490732e-07,0.0,0.0
74,3374,2.4106765295073274e-07,,,,,
75,3399,,2.3841855067985307e-07,,,,
75,3419,,,0.0,2.50339439844538e-07,0.0,0.0
75,3419,2.3908083335300034e-07,,,,,
76,3449,,2.3841855067985307e-07,,,,
76,3464,,,0.0,2.483526202468056e-07,0.0,0.0
76,3464,2.3808742355413415e-07,,,,,
77,3499,,2.3841855067985307e-07,,,,
77,3509,,,0.0,2.26497618882604e-07,0.0,0.0
77,3509,2.346104821526751e-07,,,,,
78,3549,,2.3096797008292924e-07,,,,
78,3554,,,0.0,2.3245807767580118e-07,0.0,0.0
78,3554,2.324580918866559e-07,,,,,
79,3599,,2.1606680888908159e-07,,,,
79,3599,,,0.0,2.3245807767580118e-07,0.0,0.0
79,3599,2.2765661356061173e-07,,,,,
80,3644,,,0.0,2.2053716008940683e-07,0.0,0.0
80,3644,2.2401410149086587e-07,,,,,
81,3649,,2.0861622829215776e-07,,,,
81,3689,,,0.0,2.2053716008940683e-07,0.0,0.0
81,3689,2.1772250136109506e-07,,,,,
82,3699,,1.7881390590446244e-07,,,,
82,3734,,,0.0,1.927216572994439e-07,0.0,0.0
82,3734,2.0662940869442536e-07,,,,,
83,3749,,1.937150670983101e-07,,,,
83,3779,,,0.0,2.0066893569037347e-07,0.0,0.0
83,3779,2.0100009123780183e-07,,,,,
84,3799,,2.0861622829215776e-07,,,,
84,3824,,,0.0,1.907348377017115e-07,0.0,0.0
84,3824,1.884168909782602e-07,,,,,
85,3849,,1.7136333951839333e-07,,,,
85,3869,,,0.0,1.907348377017115e-07,0.0,0.0
85,3869,1.763303885127243e-07,,,,,
86,3899,,1.7881390590446244e-07,,,,
86,3914,,,0.0,1.947084768971763e-07,0.0,0.0
86,3914,1.7036992971952714e-07,,,,,
87,3949,,1.4901159772762185e-07,,,,
87,3959,,,0.0,1.6689297410721338e-07,0.0,0.0
87,3959,1.6060138818829728e-07,,,,,
88,3999,,1.341104365337742e-07,,,,
88,4004,,,0.0,1.6093252952487092e-07,0.0,0.0
