epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
26,1214,4.225461907481076e-06,,,,,
27,1249,,3.7923382478766143e-06,,,,
27,1259,,,0.0,3.6696521874546306e-06,0.0,0.0
27,1259,3.862704488710733e-06,,,,,
28,1299,,3.4198105822724756e-06,,,,
28,1304,,,0.0,3.264342467446113e-06,0.0,0.0
28,1304,3.5150128496752586e-06,,,,,
29,1349,,2.950425368908327e-06,,,,
29,1349,,,0.0,2.980227463922347e-06,0.0,0.0
29,1349,3.2007642403186765e-06,,,,,
30,1394,,,0.0,2.7517439775692765e-06,0.0,0.0
30,1394,2.93171547127713e-06,,,,,
31,1399,,2.8759200176864397e-06,,,,
31,1439,,,0.0,2.5212730179191567e-06,0.0,0.0
31,1439,2.7196240353077883e-06,,,,,
32,1449,,2.5182930585287977e-06,,,,
32,1484,,,0.0,2.314644234502339e-06,0.0,0.0
32,1484,2.4992539238155587e-06,,,,,
33,1499,,2.4065343495749403e-06,,,,
33,1529,,,0.0,2.167619868487236e-06,0.0,0.0
33,1529,2.3199431780085433e-06,,,,,
34,1549,,2.1383143575803842e-06,,,,
34,1574,,,0.0,2.0623185719159665e-06,0.0,0.0
34,1574,2.1545404251810396e-06,,,,,
35,1599,,2.0042039068357553e-06,,,,
35,1619,,,0.0,1.8874785610023537e-06,0.0,0.0
35,1619,1.9939395770052215e-06,,,,,
36,1649,,1.8179399603468482e-06,,,,
36,1664,,,0.0,1.758335542945133e-06,0.0,0.0
36,1664,1.8576774891698733e-06,,,,,
37,1699,,1.6763792700658087e-06,,,,
37,1709,,,0.0,1.67091536695807e-06,0.0,0.0
37,1709,1.732342070681625e-06,,,,,
38,1749,,1.683829623289057e-06,,,,
38,1754,,,0.0,1.5238908872561296e-06,0.0,0.0
38,1754,1.6215766436289414e-06,,,,,
39,1799,,1.4826644019194646e-06,,,,
39,1799,,,0.0,1.3927608506492106e-06,0.0,0.0
39,1799,1.5172687426456832e-06,,,,,
40,1844,,,0.0,1.3252089274828904e-06,0.0,0.0
40,1844,1.4262060403780197e-06,,,,,
41,1849,,1.3187518561608158e-06,,,,
41,1889,,,0.0,1.2159340485595749e-06,0.0,0.0
41,1889,1.3311699831319856e-06,,,,,
42,1899,,1.2591474387591006e-06,,,,
42,1934,,,0.0,1.1901053085239255e-06,0.0,0.0
42,1934,1.2541808018795564e-06,,,,,
43,1949,,1.1622898909990909e-06,,,,
43,1979,,,0.0,1.1106325246146298e-06,0.0,0.0
43,1979,1.1821585985671845e-06,,,,,
44,1999,,1.0952346656267764e-06,,,,
44,2024,,,0.0,1.0728830375228426e-06,0.0,0.0
44,2024,1.1134476380902925e-06,,,,,
45,2049,,1.057981876328995e-06,,,,
