epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
64,2924,,,0.0,4.466289283300284e-06,0.0,0.0
64,2924,1.6699215166227077e-06,,,,,
65,2949,,1.2740483725792728e-06,,,,
65,2969,,,0.0,3.617965603552875e-06,0.0,0.0
65,2969,1.5333281453422387e-06,,,,,
66,2999,,1.1250367606407963e-06,,,,
66,3014,,,0.0,3.751060376089299e-06,0.0,0.0
66,3014,1.462464865653601e-06,,,,,
67,3049,,1.4901145277690375e-06,,,,
67,3059,,,0.0,3.9398055378114805e-06,0.0,0.0
67,3059,1.3970654890727019e-06,,,,,
68,3099,,8.195634677576891e-07,,,,
68,3104,,,0.0,4.120592166145798e-06,0.0,0.0
68,3104,1.4187547776600695e-06,,,,,
69,3149,,2.138311629096279e-06,,,,
69,3149,,,0.0,3.500737648209906e-06,0.0,0.0
69,3149,1.3841511190548772e-06,,,,,
70,3194,,,0.0,4.345054549048655e-06,0.0,0.0
70,3194,1.328354414908972e-06,,,,,
71,3199,,1.184641405416187e-06,,,,
71,3239,,,0.0,3.2086818464449607e-06,0.0,0.0
71,3239,1.2409348073560977e-06,,,,,
72,3249,,1.4752126844541635e-06,,,,
72,3284,,,0.0,3.441120952629717e-06,0.0,0.0
72,3284,1.217258386532194e-06,,,,,
73,3299,,8.642668944958132e-07,,,,
73,3329,,,0.0,3.3119811178039527e-06,0.0,0.0
73,3329,1.186462782243325e-06,,,,,
74,3349,,1.2516948117990978e-06,,,,
74,3374,,,0.0,2.330530605831882e-06,0.0,0.0
74,3374,1.1591439488256583e-06,,,,,
75,3399,,9.611243285689852e-07,,,,
75,3419,,,0.0,2.4914593268476892e-06,0.0,0.0
75,3419,1.139772507485759e-06,,,,,
76,3449,,9.015197406370135e-07,,,,
76,3464,,,0.0,2.7537055302673252e-06,0.0,0.0
76,3464,1.0159275234400411e-06,,,,,
77,3499,,8.866186362865847e-07,,,,
77,3509,,,0.0,2.807355940603884e-06,0.0,0.0
77,3509,1.045398789756291e-06,,,,,
78,3549,,1.1697402442223392e-06,,,,
78,3554,,,0.0,2.3980792320799083e-06,0.0,0.0
78,3554,1.0477162959432462e-06,,,,,
79,3599,,9.387725867782137e-07,,,,
